id,document,metadata
18_10,"eong-A Lee, Souley Bakouri, and Maria Liz Crespo
Real-time object detection, tracking, and monitoring framework for security surveil-
lance systems [2024]
This work introduces a real-time framework for object detection, tracking, and monitor-
ing in surveillance systems. It leverages deep learning-based detection with optimized
tracking pipelines to enhance security monitoring efficiency and robustness in dynamic
environments.(2)
Krishna Kumar, Krishan Kumar, and C. L. P. Gupta
Object Detection in Video Frames using Deep Learning [2022]
The paper applies deep learning methods for detecting objects in video frames, demonstrat-
ing how neural networks improve detection accuracy and reliability in sequential visual
data.(3)
M. Koteswara Rao and P. M. Ashok Kumar
Exploring the advancements and","{""chunk"": 10, ""user_id"": 1, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_11," in sequential visual
data.(3)
M. Koteswara Rao and P. M. Ashok Kumar
Exploring the advancements and challenges of object detection in video surveillance
through deep learning: A systematic literature review and outlook [2025]
This review systematically analyzes deep learning-based object detection methods for surveil-
lance, highlighting current progress, challenges such as real-time constraints, and future
directions for intelligent monitoring systems.(4)
Paschalis Tsirtsakis, Georgios Zacharis, George S. Maraslidis, and George F. Fragulis
Deep learning for object recognition: A comprehensive review of models and algo-
rithms [2025]
A comprehensive review of deep learning models and algorithms for object recognition,
Department of Computer Engineering PCCOER
Object Detection and Scene Un","{""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""policy_id"": 18, ""chunk"": 11, ""user_id"": 1}"
18_12,"thms for object recognition,
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 3
covering CNNs, transformers, and hybrid approaches. It provides insights into their strengths,
limitations, and applications across domains.(5)
Jiajun Wu
Physical scene understanding [2024]
This article focuses on physical scene understanding, examining how AI models interpret
and predict real-world environments by integrating perception, reasoning, and physical in-
teraction principles.(6)
Am´erico Pereira, Pedro Carvalho, and Lu´ıs Cˆorte-Real
A transition towards virtual representations of visual scenes [2024]
This paper explores the shift towards creating virtual representations of real-world visual
scenes, emphasizing the role of co","{""chunk"": 12, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1}"
18_13,"ift towards creating virtual representations of real-world visual
scenes, emphasizing the role of computer vision, 3D reconstruction, and immersive tech-
nologies in enabling digital scene understanding and interaction.(7)
Xingxing Zuo, Pouya Samangouei, Yunwen Zhou, Yan Di, and Mingyang Li
FMGS: Foundation model embedded 3D Gaussian splatting for holistic 3D scene un-
derstanding [2025]
The paper introduces FMGS, a novel approach combining foundation models with 3D
Gaussian splatting to achieve comprehensive scene understanding, enabling advanced 3D
perception and reconstruction.(8)
Sichao Liu, Jianjing Zhang, Robert X. Gao, Xi Vincent Wang, and Lihui Wang
Vision-language model-driven scene understanding and robotic object manipulation
[2024]
This work integrates vision-language models wi","{""user_id"": 1, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""chunk"": 13, ""policy_id"": 18}"
18_14," understanding and robotic object manipulation
[2024]
This work integrates vision-language models with robotics for scene understanding and ob-
ject manipulation. It demonstrates how multimodal AI improves robotic perception, plan-
ning, and interaction in unstructured environments.(9)
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 4
Table 1:Literature survey on Object Detection and Scene Understanding
Research Article
(Author/Year)
Objective /
Proposed Work
Methods /
Techniques
Datasets Relevant Findings
/ Limitations
Identified
“Object detection
in real-time video
surveillance using
attention based
transformer-
YOLOv8 model”
D. Nimma et al.,
2025
Real-time object
detection in
surveillance
Attention-based
Transfo","{""user_id"": 1, ""policy_id"": 18, ""chunk"": 14, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_15,"LOv8 model”
D. Nimma et al.,
2025
Real-time object
detection in
surveillance
Attention-based
Transformer +
YOLOv8
Benchmark
surveil-
lance
datasets
High accuracy in
challenging
conditions; requires
high computation
“Real-time object
detection,
tracking, and
monitoring in
security
surveillance” S.
Abba et al., 2024
Real-time
detection,
tracking, and
monitoring
framework
Deep learning
detection +
multi-object
tracking
Surveillance
video
datasets
Achieves real-time
monitoring;
scalability on edge
devices challenging
“Object Detection
in Video Frames
using Deep
Learning” K.
Kumar et al.,
2022
Object detection
in video frames
Deep learning
detection
models
Video
frame
datasets
Better accuracy
than classical
methods; limited
benchmarking
Department of Computer Engineering PCCOER
Object Detection","{""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1, ""policy_id"": 18, ""chunk"": 15}"
18_16,"n classical
methods; limited
benchmarking
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 5
“Exploring the
Advancements
and Challenges of
Object Detection
in Video
Surveillance
through Deep
Learning: A
Systematic
Literature Review
and Outlook” M.
K. Rao et al.,
2025
Review of deep
learning in video
surveillance
Systematic
literature review
Literature-
based
Identifies
advancements and
challenges; no
experimental
validation
“Deep learning
for object
recognition: A
comprehensive
review of models
and algorithms”
P. Tsirtsakis et al.,
2025
Comprehensive
review of
recognition
models
CNNs,
Transformers,
Hybrid DL
algorithms
Literature
review
Provides taxonomy
of models; lacks
empirical
evaluation
“Physical scene
understa","{""policy_id"": 18, ""user_id"": 1, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""chunk"": 16}"
18_17,"s
Literature
review
Provides taxonomy
of models; lacks
empirical
evaluation
“Physical scene
understanding” J.
Wu, 2024
Physical scene
understanding in
AI
Cognitive
reasoning +
physics priors
Conceptual
+ case
study
datasets
Bridges perception
and reasoning;
limited
implementations
“A transition
towards virtual
representations of
visual scenes” A.
Pereira et al.,
2024
Transition
towards virtual
scene
representations
3D
reconstruction,
immersive
visualization
Conceptual
frame-
work
Outlines digital
twin approach;
lacks real-world
implementation
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 6
“FMGS:
Foundation
model embedded
3D Gaussian
splatting for
holistic 3D scene
understanding”
X. Zuo et al.,
2025
Holistic 3D s","{""user_id"": 1, ""chunk"": 17, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_18,"mbedded
3D Gaussian
splatting for
holistic 3D scene
understanding”
X. Zuo et al.,
2025
Holistic 3D scene
understanding
FMGS: 3D
Gaussian
splatting +
foundation
models
Synthetic
+ real 3D
datasets
Enables detailed
3D reconstruction;
computationally
expensive
“Vision-language
model-driven
scene
understanding
and robotic object
manipulation” S.
Liu et al., 2024
Vision-language
for robotic scene
understanding
Vision-
language
models +
robotic
manipulation
Robotics
datasets
Improves robotic
perception;
generalization
remains limited
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 7
3. EXISTING SYSTEM
Recent advancements in real-time video analysis for object detection and scene under-
standing have evolved from conventi","{""user_id"": 1, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""chunk"": 18, ""policy_id"": 18}"
18_19,"n real-time video analysis for object detection and scene under-
standing have evolved from conventional CNN-based models like Faster R-CNN and early
YOLO variants (Kumar et al., 2022) toward more sophisticated hybrid approaches. Tradi-
tional YOLO-based frameworks (Abba et al., 2024) remain lightweight and fast for surveil-
lance applications but face challenges with occlusion and crowded scenes. To address this,
transformer-enhanced architectures such as Attention-based YOLOv8 (Nimma et al., 2025)
integrate self-attention mechanisms to improve accuracy and robustness in complex envi-
ronments, making them among the most effective current solutions for surveillance tasks.
Complementing detection, recent work on scene understanding (Wu, 2024; Pereira et al.,
2024; Zuo et al., 2025; Liu et ","{""policy_id"": 18, ""chunk"": 19, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1}"
18_20,"ction, recent work on scene understanding (Wu, 2024; Pereira et al.,
2024; Zuo et al., 2025; Liu et al., 2024) leverages foundation models, 3D Gaussian splat-
ting, and vision-language integration to move beyond bounding boxes, enabling holistic
interpretation of environments and object interactions. Collectively, these approaches high-
light a clear shift toward real-time, transformer-driven, and multimodal architectures that
balance speed, accuracy, and contextual understanding.
Figure 3.1: Architecture of Existing Systems
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 8
4. PROPOSED SYSTEM
4.1 Problem Statement
The central problem in real-time video analysis is the critical trade-off between
speed and accuracy. ","{""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1, ""chunk"": 20}"
18_21,"e central problem in real-time video analysis is the critical trade-off between
speed and accuracy. While modern systems can identify objects, they often fail to do so
instantly and accurately in the face of real-world complexities like occlusions, diverse light-
ing, and dynamic environments. This gap prevents their widespread adoption in mission-
critical applications where split-second decisions are essential.
4.2 Objectives
1. Examine state-of-the-art techniques for real-time object detection and scene un-
derstanding in video analysis.
2. Compare and evaluate deep learning architectures (e.g., CNNs, ViTs) in terms of speed,
accuracy, and adaptability to dynamic environments
3. Analyze key challenges such as occlusion, motion blur, variable lighting, and computa-
tional constraints.
4.","{""user_id"": 1, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""chunk"": 21, ""policy_id"": 18}"
18_22,"ey challenges such as occlusion, motion blur, variable lighting, and computa-
tional constraints.
4. Explore model optimization strategies for efficient deployment on edge and embedded
systems.
5. Investigate future trends: explainable AI, zero-shot learning, and multimodal sensor
fusion.
4.3 Proposed System
The proposed solution integrates real-time object detection with scene understand-
ing and temporal reasoning to improve the accuracy and robustness of video analysis. In-
coming video streams are first processed by YOLOv8 to detect and localize objects. The
extracted features are then passed into two parallel modules: a Scene Reasoning Mod-
ule, which uses transformer or graph-based networks to understand spatial relationships
between objects, and a Temporal Module, which leverages Co","{""user_id"": 1, ""policy_id"": 18, ""chunk"": 22, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_23,"works to understand spatial relationships
between objects, and a Temporal Module, which leverages ConvLSTMs or temporal trans-
formers to capture motion dynamics across frames. The outputs are fused to generate anno-
tated video feeds with alerts, enabling more intelligent monitoring that adapts to complex
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 9
environments and real-time constraints.
4.3.1 YOLOv8 Backbone
YOLOv8 is a state-of-the-art object detection model that provides real-time per-
formance while maintaining high accuracy. It uses a lightweight yet powerful convolutional
backbone and optimized detection head, making it ideal for surveillance scenarios where
speed and precision are critical.
4.3.2 Scen","{""user_id"": 1, ""chunk"": 23, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_24," head, making it ideal for surveillance scenarios where
speed and precision are critical.
4.3.2 Scene Reasoning Module
The scene reasoning module is designed to go beyond simple object detection by
modeling relationships between objects in a frame. Using transformers or graph neural
networks (GNNs), this module captures contextual dependencies — such as proximity,
interactions, and co-occurrence — which helps the system better interpret complex scenes.
Figure 4.1: Flowchart of the Proposed System
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 10
5. CONCLUSION & FUTURE SCOPE
5.1 Conclusion
Real-time video analysis through object detection and scene understanding is not
just a technological advancement but a paradig","{""chunk"": 24, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1}"
18_25,"rough object detection and scene understanding is not
just a technological advancement but a paradigm shift. We have moved from simply pro-
cessing pixels to interpreting the visual world with speed and accuracy. The ability to iden-
tify objects and comprehend their relationships in dynamic environments has transcended
the boundaries of research, becoming a foundational technology for a new era of intelligent
systems.
5.2 Future Scope
The future of this field is focused on overcoming remaining challenges, such as
improving performance on low-power edge devices and ensuring robustness in every con-
ceivable condition. This will lead to the next generation of applications that are safer, more
efficient, and more integrated into our daily lives, from fully autonomous transportation to
person","{""chunk"": 25, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""policy_id"": 18, ""user_id"": 1}"
18_26,"
efficient, and more integrated into our daily lives, from fully autonomous transportation to
personalized healthcare and beyond. As we continue to refine these techniques, the line
between human and machine perception will continue to blur, unlocking unprecedented
potential across countless industries.
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 11
REFERENCES
[1] D. Nimma, O. Al-Omari, R. Pradhan, Z. Ulmas, R. Krishna, T. Y . A. B. El-Ebiary,
and V . S. Rao, “Object detection in real-time video surveillance using attention based
transformer-yolov8 model,”Alexandria Engineering Journal, vol. 118, pp. 482–495,
2025.
[2] S. Abba, A. M. Bizi, J.-A. Lee, S. Bakouri, and M. L. Crespo, “Real-time object detec-
tion, ","{""chunk"": 26, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1}"
18_27,"5.
[2] S. Abba, A. M. Bizi, J.-A. Lee, S. Bakouri, and M. L. Crespo, “Real-time object detec-
tion, tracking, and monitoring framework for security surveillance systems,”Heliyon,
vol. 10, no. 15, 2024.
[3] K. Kumar, K. Kumar, and C. Gupta, “Object detection in video frames using deep
learning,”International Journal of Computer Applications, vol. 183, no. 51, pp. 975–
8887, 2022.
[4] M. K. RAO and P. A. KUMAR23, “Exploring the advancements and challenges of
object detection in video surveillance through deep learning: A systematic literature
review and outlook,”Journal of Theoretical and Applied Information Technology, vol.
103, no. 6, 2025.
[5] P. Tsirtsakis, G. Zacharis, G. S. Maraslidis, and G. F. Fragulis, “Deep learning for
object recognition: A comprehensive review of models and algor","{""policy_id"": 18, ""user_id"": 1, ""chunk"": 27, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_28,"nd G. F. Fragulis, “Deep learning for
object recognition: A comprehensive review of models and algorithms,”International
Journal of Cognitive Computing in Engineering, 2025.
[6] J. Wu, “Physical scene understanding,”AI Magazine, vol. 45, no. 1, pp. 156–164, 2024.
[7] A. Pereira, P. Carvalho, and L. Cˆorte-Real, “A transition towards virtual representations
of visual scenes,”arXiv preprint arXiv:2410.07987, 2024.
[8] X. Zuo, P. Samangouei, Y . Zhou, Y . Di, and M. Li, “Fmgs: Foundation model embed-
ded 3d gaussian splatting for holistic 3d scene understanding,”International Journal of
Computer Vision, vol. 133, no. 2, pp. 611–627, 2025.
[9] S. Liu, J. Zhang, R. X. Gao, X. V . Wang, and L. Wang, “Vision-language model-driven
scene understanding and robotic object manipulation,” in2024 IEEE 2","{""user_id"": 1, ""chunk"": 28, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_29,"g, “Vision-language model-driven
scene understanding and robotic object manipulation,” in2024 IEEE 20th International
Conference on Automation Science and Engineering (CASE). IEEE, 2024, pp. 21–26.
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 12
PLAGIARISM REPORT
Department of Computer Engineering PCCOER","{""user_id"": 1, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""chunk"": 29, ""policy_id"": 18}"
19_0,"SEMINAR REPORT
On
Object Detection and Scene Understanding: Advance techniques for
real-time video analysis
By
Atharv Kanase (TECOMP-B38)
Under the guidance of
Mrs. Avani Ray
Department of Computer Engineering
Pimpri Chinchwad College of Engineering and Research, Ravet
An Autonomous Institute — NBA Accredited (4 UG Programs) —
NAAC A++ Accredited — An ISO 21001:2018 Certified
SA VITRIBAI PHULE PUNE UNIVERSITY
(2025 - 2026)
Department of Computer Engineering
Pimpri Chinchwad College of Engineering and Research, Ravet
CERTIFICATE
This is to certify thatAtharv KanasefromThird Year Engineeringhas successfully com-
pleted his seminar work titled“Object Detection and Scene Understanding: Advance
techniques for real-time video analysis”at Pimpri Chinchwad College of Engineering
and Research, Rave","{""user_id"": 1, ""chunk"": 0, ""policy_id"": 19, ""file"": ""D:\\qwerty\\Backend\\uploads/1759060320622-report__1_.pdf""}"
19_1,"echniques for real-time video analysis”at Pimpri Chinchwad College of Engineering
and Research, Ravet in the partial fulfillment of the Bachelors Degree in Engineering.
Mrs. Avani Ray
Seminar Guide
Dr. Vijay A Kotkar
HOD, Computer Department
Prof. Dr. H.U. Tiwari
Director, PCCOE&R, Ravet
ACKNOWLEDGEMENT
It gives me pleasure to present a Seminar on “Object Detection and Scene Understand-
ing: Advance techniques for real-time video analysis”. I am very much obliged to my guide
Mrs. Avani Ray, Department of Computer Engineering, for helping me and giving proper
guidance. I am very thankful to the Head of the DepartmentDr. Vijay A Kotkarand the
entire staff members for their cooperation. I am also thankful to my family and friends for
their support and constant encouragement towards the fulfil","{""file"": ""D:\\qwerty\\Backend\\uploads/1759060320622-report__1_.pdf"", ""user_id"": 1, ""policy_id"": 19, ""chunk"": 1}"
19_2,"so thankful to my family and friends for
their support and constant encouragement towards the fulfilment of the work.
Place: Ravet, Pune
Date:
Atharv Kanase
TECOMP-B38
ABSTRACT
This seminar explores advanced techniques for real-time object detection and scene un-
derstanding, fundamental tasks in computer vision that enable machines to recognize, lo-
calize, and interpret multiple objects within video streams. With the rapid evolution of deep
learning methods such as Convolutional Neural Networks (CNNs) and Vision Transformers
(ViTs), real-time video analysis has become increasingly accurate and efficient, supporting
critical applications like autonomous vehicles, intelligent surveillance, healthcare monitor-
ing, and smart city systems. The seminar examines key challenges—including occlus","{""chunk"": 2, ""policy_id"": 19, ""file"": ""D:\\qwerty\\Backend\\uploads/1759060320622-report__1_.pdf"", ""user_id"": 1}"
19_3,"ealthcare monitor-
ing, and smart city systems. The seminar examines key challenges—including occlusion,
variable lighting, motion blur, and computational constraints on edge devices—and evalu-
ates state-of-the-art architectures for their speed, accuracy, and adaptability. It also high-
lights emerging trends such as explainable AI, zero-shot learning, and multimodal sensor
fusion, emphasizing their potential to enhance the efficiency, robustness, and scalability of
real-time video analytics solutions.
Keywords:Object Detection, Scene Understanding, Real-time Video Analysis, Com-
puter Vision, Convolutional Neural Networks (CNNs), Vision Transformers (ViTs)
TABLE OF CONTENTS
Chapter 1: Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","{""user_id"": 1, ""policy_id"": 19, ""file"": ""D:\\qwerty\\Backend\\uploads/1759060320622-report__1_.pdf"", ""chunk"": 3}"
19_4,"oduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
1.1 Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1
Chapter 2: Literature Survey . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
Chapter 3: Existing System . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 13
Chapter 4: Proposed System . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
4.1 Problem Statement . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
4.2 Objectives . ","{""file"": ""D:\\qwerty\\Backend\\uploads/1759060320622-report__1_.pdf"", ""chunk"": 4, ""user_id"": 1, ""policy_id"": 19}"
